Nivel de consistência; Data; Vazão
2;1994-09-03;14.689
2;1994-09-04;14.423
2;1994-09-05;14.423
2;1994-09-06;14.689
2;1994-09-07;15.77
2;1994-09-08;15.226
2;1994-09-09;14.689
2;1994-09-09;14.689
2;1994-09-09;14.158
2;1994-09-09;14.158
2;1994-09-09;14.689
2;1994-09-09;14.158
2;1994-09-09;13.633
2;1994-09-09;14.689
2;1994-09-09;14.158
2;1994-09-09;13.633
2;1994-09-09;12.601
2;1994-09-09;12.857
2;1994-09-09;12.857
2;1994-09-09;12.095
2;1994-09-09;11.596
2;1994-09-09;11.348
2;1994-09-09;10.617
2;1994-09-09;10.137
2;1994-09-09;9.9
2;1994-09-09;9.9
2;1994-09-09;10.137
2;1994-09-09;10.617
2;1994-10-01;11.845
2;1994-10-02;26.497
2;1994-10-03;28.447
2;1994-10-04;33.883
2;1994-10-05;30.34
2;1994-10-06;24.592
2;1994-10-07;19.442
2;1994-10-08;15.77
2;1994-10-09;13.633
2;1994-10-09;12.601
2;1994-10-09;12.095
2;1994-10-09;11.596
2;1994-10-09;12.095
2;1994-10-09;16.044
2;1994-10-09;14.158
2;1994-10-09;14.423
2;1994-10-09;13.114
2;1994-10-09;15.226
2;1994-10-09;43.694
2;1994-10-09;53.955
2;1994-10-09;43.363
2;1994-10-09;33.283
2;1994-10-09;26.819
2;1994-10-09;22.426
2;1994-10-09;34.488
2;1994-10-09;55.153
2;1994-10-09;79.738
2;1994-10-09;90.109
2;1994-10-09;83.454
2;1994-10-09;73.388
2;1994-10-09;53.161
2;1994-11-01;36.636
2;1994-11-02;31.799
2;1994-11-03;29.106
2;1994-11-04;24.592
2;1994-11-05;25.222
2;1994-11-06;45.846
2;1994-11-07;51.588
2;1994-11-08;51.979
2;1994-11-09;47.732
2;1994-11-09;61.292
2;1994-11-09;53.955
2;1994-11-09;46.974
2;1994-11-09;44.025
2;1994-11-09;53.955
2;1994-11-09;58.807
2;1994-11-09;61.71
2;1994-11-09;68.539
2;1994-11-09;85.809
2;1994-11-09;98.944
2;1994-11-09;99.444
2;1994-11-09;93.508
2;1994-11-09;86.283
2;1994-11-09;79.738
2;1994-11-09;65.518
2;1994-11-09;53.955
2;1994-11-09;43.363
2;1994-11-09;36.946
2;1994-11-09;36.946
2;1994-11-09;38.199
2;1994-11-09;38.199
2;1994-12-01;35.709
2;1994-12-02;32.389
2;1994-12-03;29.106
2;1994-12-04;26.819
2;1994-12-05;27.792
2;1994-12-06;42.704
2;1994-12-07;53.161
2;1994-12-08;65.518
2;1994-12-09;76.538
2;1994-12-09;76.992
2;1994-12-09;75.182
2;1994-12-09;72.497
2;1994-12-09;64.664
2;1994-12-09;55.958
2;1994-12-09;50.032
2;1994-12-09;68.974
2;1994-12-09;79.738
2;1994-12-09;83.454
2;1994-12-09;83.454
2;1994-12-09;84.393
2;1994-12-09;83.454
2;1994-12-09;78.36
2;1994-12-09;82.519
2;1994-12-09;85.809
2;1994-12-09;83.454
2;1994-12-09;79.277
2;1994-12-09;72.497
2;1994-12-09;63.815
2;1994-12-09;57.988
2;1994-12-09;51.588
2;1994-12-09;46.974
2;1995-01-01;52.372
2;1995-01-02;50.032
2;1995-01-03;44.729
2;1995-01-04;40.75
2;1995-01-05;37.571
2;1995-01-06;35.097
2;1995-01-07;68.974
2;1995-01-08;143.055
2;1995-01-09;216.397
2;1995-01-09;239.77
2;1995-01-09;329.768
2;1995-01-09;416.787
2;1995-01-09;439.935
2;1995-01-09;432.158
2;1995-01-09;407.306
2;1995-01-09;364.935
2;1995-01-09;316.142
2;1995-01-09;270.462
2;1995-01-09;248.807
2;1995-01-09;241.266
2;1995-01-09;235.307
2;1995-01-09;225.038
2;1995-01-09;207.906
2;1995-01-09;185.997
2;1995-01-09;166.441
2;1995-01-09;141.867
2;1995-01-09;125.703
2;1995-01-09;126.829
2;1995-01-09;114.687
2;1995-01-09;101.037
2;1995-01-09;94.488
2;1995-02-01;93.02
2;1995-02-02;96.954
2;1995-02-03;121.243
2;1995-02-04;137.161
2;1995-02-05;133.677
2;1995-02-06;140.684
2;1995-02-07;143.055
2;1995-02-08;135.995
2;1995-02-09;133.677
2;1995-02-09;131.377
2;1995-02-09;129.094
2;1995-02-09;129.094
2;1995-02-09;127.959
2;1995-02-09;138.331
2;1995-02-09;145.443
2;1995-02-09;141.867
2;1995-02-09;133.677
2;1995-02-09;122.351
2;1995-02-09;108.292
2;1995-02-09;101.037
2;1995-02-09;98.944
2;1995-02-09;96.459
2;1995-02-09;93.997
2;1995-02-09;94.979
2;1995-02-09;95.965
2;1995-02-09;91.075
2;1995-02-09;87.233
2;1995-02-09;81.588
2;1995-03-01;77.447
2;1995-03-02;72.053
2;1995-03-03;68.104
2;1995-03-04;62.549
2;1995-03-05;59.631
2;1995-03-06;61.292
2;1995-03-07;70.727
2;1995-03-08;75.182
2;1995-03-09;76.992
2;1995-03-09;77.903
2;1995-03-09;74.732
2;1995-03-09;67.238
2;1995-03-09;64.664
2;1995-03-09;72.497
2;1995-03-09;79.738
2;1995-03-09;82.986
2;1995-03-09;82.986
2;1995-03-09;78.818
2;1995-03-09;72.053
2;1995-03-09;62.97
2;1995-03-09;53.161
2;1995-03-09;44.729
2;1995-03-09;40.107
2;1995-03-09;37.884
2;1995-03-09;37.884
2;1995-03-09;35.709
2;1995-03-09;33.283
2;1995-03-09;31.505
2;1995-03-09;30.92
2;1995-03-09;37.571
2;1995-03-09;37.884
2;1995-04-01;35.097
2;1995-04-02;32.093
2;1995-04-03;30.051
2;1995-04-04;28.447
2;1995-04-05;27.792
2;1995-04-06;27.142
2;1995-04-07;26.497
2;1995-04-08;24.906
2;1995-04-09;29.106
2;1995-04-09;29.763
2;1995-04-09;28.776
2;1995-04-09;32.686
2;1995-04-09;31.212
2;1995-04-09;27.142
2;1995-04-09;23.656
2;1995-04-09;22.122
2;1995-04-09;21.819
2;1995-04-09;23.967
2;1995-04-09;29.438
2;1995-04-09;46.974
2;1995-04-09;63.392
2;1995-04-09;65.946
2;1995-04-09;62.129
2;1995-04-09;55.153
2;1995-04-09;45.1
2;1995-04-09;36.946
2;1995-04-09;32.984
2;1995-04-09;30.34
2;1995-04-09;27.142
2;1995-04-09;24.592
2;1995-05-01;22.732
2;1995-05-02;21.517
2;1995-05-03;20.323
2;1995-05-04;20.028
2;1995-05-05;20.323
2;1995-05-06;20.917
2;1995-05-07;23.656
2;1995-05-08;25.857
2;1995-05-09;25.222
2;1995-05-09;24.592
2;1995-05-09;23.347
2;1995-05-09;22.426
2;1995-05-09;21.216
2;1995-05-09;20.323
2;1995-05-09;18.862
2;1995-05-09;19.151
2;1995-05-09;21.517
2;1995-05-09;23.967
2;1995-05-09;25.539
2;1995-05-09;21.517
2;1995-05-09;18.574
2;1995-05-09;18.001
2;1995-05-09;18.001
2;1995-05-09;17.435
2;1995-05-09;17.435
2;1995-05-09;17.154
2;1995-05-09;17.154
2;1995-05-09;17.154
2;1995-05-09;16.874
2;1995-05-09;16.596
2;1995-05-09;16.596
2;1995-06-01;17.154
2;1995-06-02;17.154
2;1995-06-03;17.154
2;1995-06-04;16.874
2;1995-06-05;16.874
2;1995-06-06;16.319
2;1995-06-07;16.044
2;1995-06-08;15.77
2;1995-06-09;16.319
2;1995-06-09;18.001
2;1995-06-09;17.435
2;1995-06-09;16.319
2;1995-06-09;15.497
2;1995-06-09;14.689
2;1995-06-09;14.423
2;1995-06-09;14.423
2;1995-06-09;15.226
2;1995-06-09;25.539
2;1995-06-09;27.792
2;1995-06-09;23.967
2;1995-06-09;20.323
2;1995-06-09;18.287
2;1995-06-09;17.435
2;1995-06-09;16.874
2;1995-06-09;25.539
2;1995-06-09;33.283
2;1995-06-09;56.766
2;1995-06-09;78.818
2;1995-06-09;78.818
2;1995-06-09;76.992
2;1995-07-01;68.974
2;1995-07-02;51.588
2;1995-07-03;40.107
2;1995-07-04;34.792
2;1995-07-05;32.093
2;1995-07-06;30.051
2;1995-07-07;34.185
2;1995-07-08;103.087
2;1995-07-09;156.404
2;1995-07-09;162.645
2;1995-07-09;157.644
2;1995-07-09;145.443
2;1995-07-09;126.829
2;1995-07-09;108.292
2;1995-07-09;74.261
2;1995-07-09;62.269
2;1995-07-09;54.523
2;1995-07-09;44.393
2;1995-07-09;39.03
2;1995-07-09;36.05
2;1995-07-09;36.348
2;1995-07-09;37.242
2;1995-07-09;38.434
2;1995-07-09;37.242
2;1995-07-09;34.263
2;1995-07-09;30.986
2;1995-07-09;27.708
2;1995-07-09;24.431
2;1995-07-09;22.643
2;1995-07-09;21.451
2;1995-07-09;20.558
2;1995-08-01;20.558
2;1995-08-02;20.856
2;1995-08-03;19.962
2;1995-08-04;32.475
2;1995-08-05;46.478
2;1995-08-06;54.523
2;1995-08-07;58.396
2;1995-08-08;57.8
2;1995-08-09;52.139
2;1995-08-09;44.393
2;1995-08-09;36.646
2;1995-08-09;30.092
2;1995-08-09;26.219
2;1995-08-09;24.133
2;1995-08-09;22.047
2;1995-08-09;20.558
2;1995-08-09;20.558
2;1995-08-09;19.962
2;1995-08-09;19.962
2;1995-08-09;24.133
2;1995-08-09;24.133
2;1995-08-09;22.941
2;1995-08-09;22.047
2;1995-08-09;21.154
2;1995-08-09;19.366
2;1995-08-09;17.578
2;1995-08-09;16.089
2;1995-08-09;16.089
2;1995-08-09;15.791
2;1995-08-09;15.195
2;1995-08-09;14.897
2;1995-09-01;14.599
2;1995-09-02;14.003
2;1995-09-03;14.003
2;1995-09-04;12.811
2;1995-09-05;12.811
2;1995-09-06;13.109
2;1995-09-07;13.407
2;1995-09-08;13.109
2;1995-09-09;12.811
2;1995-09-09;12.215
2;1995-09-09;12.215
2;1995-09-09;12.811
2;1995-09-09;13.407
2;1995-09-09;14.003
2;1995-09-09;14.301
2;1995-09-09;13.407
2;1995-09-09;12.215
2;1995-09-09;12.215
2;1995-09-09;12.811
2;1995-09-09;30.986
2;1995-09-09;41.115
2;1995-09-09;39.03
2;1995-09-09;44.989
2;1995-09-09;64.652
2;1995-09-09;83.407
2;1995-09-09;102.06
2;1995-09-09;123.464
2;1995-09-09;133.677
2;1995-09-09;129.094
2;1995-09-09;120.139
2;1995-10-01;107.242
2;1995-10-02;97.995
2;1995-10-03;85.292
2;1995-10-04;71.207
2;1995-10-05;66.44
2;1995-10-06;60.481
2;1995-10-07;55.118
2;1995-10-08;49.16
2;1995-10-09;44.989
2;1995-10-09;42.605
2;1995-10-09;40.52
2;1995-10-09;38.434
2;1995-10-09;34.859
2;1995-10-09;41.115
2;1995-10-09;47.372
2;1995-10-09;50.947
2;1995-10-09;53.629
2;1995-10-09;57.502
2;1995-10-09;59.29
2;1995-10-09;62.269
2;1995-10-09;61.971
2;1995-10-09;59.886
2;1995-10-09;55.417
2;1995-10-09;48.564
2;1995-10-09;42.605
2;1995-10-09;40.818
2;1995-10-09;39.626
2;1995-10-09;39.328
2;1995-10-09;48.862
2;1995-10-09;50.947
2;1995-10-09;47.968
2;1995-11-01;43.201
2;1995-11-02;39.03
2;1995-11-03;38.136
2;1995-11-04;38.732
2;1995-11-05;39.328
2;1995-11-06;39.03
2;1995-11-07;38.434
2;1995-11-08;36.944
2;1995-11-09;33.965
2;1995-11-09;29.794
2;1995-11-09;29.198
2;1995-11-09;28.602
2;1995-11-09;25.623
2;1995-11-09;24.431
2;1995-11-09;40.52
2;1995-11-09;54.523
2;1995-11-09;58.694
2;1995-11-09;57.502
2;1995-11-09;54.821
2;1995-11-09;51.841
2;1995-11-09;47.074
2;1995-11-09;39.626
2;1995-11-09;31.284
2;1995-11-09;25.921
2;1995-11-09;24.729
2;1995-11-09;24.729
2;1995-11-09;24.133
2;1995-11-09;22.941
2;1995-11-09;20.558
2;1995-11-09;18.174
2;1995-12-01;16.089
2;1995-12-02;15.791
2;1995-12-03;14.897
2;1995-12-04;25.325
2;1995-12-05;30.092
2;1995-12-06;28.602
2;1995-12-07;27.708
2;1995-12-08;24.133
2;1995-12-09;19.068
