Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:65025000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
65025000;2;01/12/1994;;1;1;85,809;26,819;63,575;24;4;1;1;1;;0;35,709;32,389;29,106;26,819;27,792;42,704;53,161;65,518;76,538;76,992;75,182;72,497;64,664;55,958;50,032;68,974;79,738;83,454;83,454;84,393;83,454;78,36;82,519;85,809;83,454;79,277;72,497;63,815;57,988;51,588;46,974;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/01/1995;;1;1;439,935;35,097;197,471;13;6;1;1;1;;0;52,372;50,032;44,729;40,75;37,571;35,097;68,974;143,055;216,397;239,77;329,768;416,787;439,935;432,158;407,306;364,935;316,142;270,462;248,807;241,266;235,307;225,038;207,906;185,997;166,441;141,867;125,703;126,829;114,687;101,037;94,488;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/02/1995;;1;1;145,443;81,588;117,294;15;28;1;1;1;;0;93,02;96,954;121,243;137,161;133,677;140,684;143,055;135,995;133,677;131,377;129,094;129,094;127,959;138,331;145,443;141,867;133,677;122,351;108,292;101,037;98,944;96,459;93,997;94,979;95,965;91,075;87,233;81,588;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
65025000;2;01/03/1995;;1;1;82,986;30,92;60,039;16;29;1;1;1;;0;77,447;72,053;68,104;62,549;59,631;61,292;70,727;75,182;76,992;77,903;74,732;67,238;64,664;72,497;79,738;82,986;82,986;78,818;72,053;62,97;53,161;44,729;40,107;37,884;37,884;35,709;33,283;31,505;30,92;37,571;37,884;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/04/1995;;1;1;65,946;21,819;34,08;22;17;1;1;1;;0;35,097;32,093;30,051;28,447;27,792;27,142;26,497;24,906;29,106;29,763;28,776;32,686;31,212;27,142;23,656;22,122;21,819;23,967;29,438;46,974;63,392;65,946;62,129;55,153;45,1;36,946;32,984;30,34;27,142;24,592;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/05/1995;;1;1;25,857;16,596;20,452;8;30;1;1;1;;0;22,732;21,517;20,323;20,028;20,323;20,917;23,656;25,857;25,222;24,592;23,347;22,426;21,216;20,323;18,862;19,151;21,517;23,967;25,539;21,517;18,574;18,001;18,001;17,435;17,435;17,154;17,154;17,154;16,874;16,596;16,596;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/06/1995;;1;1;78,818;14,423;25,87;28;15;1;1;1;;0;17,154;17,154;17,154;16,874;16,874;16,319;16,044;15,77;16,319;18,001;17,435;16,319;15,497;14,689;14,423;14,423;15,226;25,539;27,792;23,967;20,323;18,287;17,435;16,874;25,539;33,283;56,766;78,818;78,818;76,992;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/07/1995;;1;1;162,645;20,558;61,096;10;31;1;1;1;;0;68,974;51,588;40,107;34,792;32,093;30,051;34,185;103,087;156,404;162,645;157,644;145,443;126,829;108,292;74,261;62,269;54,523;44,393;39,03;36,05;36,348;37,242;38,434;37,242;34,263;30,986;27,708;24,431;22,643;21,451;20,558;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/08/1995;;1;1;58,396;14,897;27,651;7;31;1;1;1;;0;20,558;20,856;19,962;32,475;46,478;54,523;58,396;57,8;52,139;44,393;36,646;30,092;26,219;24,133;22,047;20,558;20,558;19,962;19,962;24,133;24,133;22,941;22,047;21,154;19,366;17,578;16,089;16,089;15,791;15,195;14,897;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/09/1995;;1;1;133,677;12,215;38,763;28;10;1;1;1;;0;14,599;14,003;14,003;12,811;12,811;13,109;13,407;13,109;12,811;12,215;12,215;12,811;13,407;14,003;14,301;13,407;12,215;12,215;12,811;30,986;41,115;39,03;44,989;64,652;83,407;102,06;123,464;133,677;129,094;120,139;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/10/1995;;1;1;107,242;34,859;54,918;1;13;1;1;1;;0;107,242;97,995;85,292;71,207;66,44;60,481;55,118;49,16;44,989;42,605;40,52;38,434;34,859;41,115;47,372;50,947;53,629;57,502;59,29;62,269;61,971;59,886;55,417;48,564;42,605;40,818;39,626;39,328;48,862;50,947;47,968;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/11/1995;;1;1;58,694;18,174;36,05;17;30;1;1;1;;0;43,201;39,03;38,136;38,732;39,328;39,03;38,434;36,944;33,965;29,794;29,198;28,602;25,623;24,431;40,52;54,523;58,694;57,502;54,821;51,841;47,074;39,626;31,284;25,921;24,729;24,729;24,133;22,941;20,558;18,174;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/12/1995;;1;1;113,61;13,109;29,912;31;22;2;2;2;;0;16,089;15,791;14,897;25,325;30,092;28,602;27,708;24,133;19,068;15,195;14,003;14,301;25,623;33,369;29,496;23,835;18,174;15,791;15,195;14,301;13,407;13,109;16,983;30,688;40,818;37,838;33,071;40,222;61,375;105,156;113,61;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;
65025000;2;01/01/1996;;1;1;152,712;61,375;114,856;24;10;1;1;1;;0;113,61;111,469;107,242;99,004;85,292;70,909;71,207;68,824;69,42;61,375;143,055;145,443;138,331;125,703;120,139;116,854;109,347;107,242;117,945;121,243;120,139;129,094;147,848;152,712;152,712;151,489;144,247;129,094;120,139;110,406;99,004;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/02/1996;;1;1;150,271;52,139;94,158;12;5;1;1;1;;0;91,058;78,775;68,228;60,481;52,139;60,481;72,488;93,017;114,687;138,331;146,643;150,271;149,058;145,443;135,995;124,581;109,347;96,991;86,241;78,775;81,54;80,614;75,154;71,207;70,015;68,824;67,93;71,207;91,058;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
