Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64275000


EstacaoCodigo;NivelConsistencia;MetodoObtencaoVazoes;Data;Vazao;Status
64275000;2;1;01/01/1969;231;1
64275000;2;1;02/01/1969;187;1
64275000;2;1;03/01/1969;233;1
64275000;2;1;04/01/1969;224;1
64275000;2;1;05/01/1969;209;1
64275000;2;1;06/01/1969;205;1
64275000;2;1;07/01/1969;196;1
64275000;2;1;08/01/1969;205;1
64275000;2;1;09/01/1969;196;1
64275000;2;1;10/01/1969;224;1
64275000;2;1;11/01/1969;205;1
64275000;2;1;12/01/1969;196;1
64275000;2;1;13/01/1969;178;1
64275000;2;1;14/01/1969;256;1
64275000;2;1;15/01/1969;261;1
64275000;2;1;16/01/1969;256;1
64275000;2;1;17/01/1969;226;1
64275000;2;1;18/01/1969;238;1
64275000;2;1;19/01/1969;216;1
64275000;2;1;20/01/1969;173;1
64275000;2;1;21/01/1969;221;1
64275000;2;1;22/01/1969;226;1
64275000;2;1;23/01/1969;231;1
64275000;2;1;24/01/1969;253;1
64275000;2;1;25/01/1969;258;1
64275000;2;1;26/01/1969;198;1
64275000;2;1;27/01/1969;165;1
64275000;2;1;28/01/1969;212;1
64275000;2;1;29/01/1969;243;1
64275000;2;1;30/01/1969;241;1
64275000;2;1;31/01/1969;238;1
64275000;2;1;01/02/1969;221;1
64275000;2;1;02/02/1969;200;1
64275000;2;1;03/02/1969;151;1
64275000;2;1;04/02/1969;189;1
64275000;2;1;05/02/1969;159;1
64275000;2;1;06/02/1969;147;1
64275000;2;1;07/02/1969;157;1
64275000;2;1;08/02/1969;169;1
64275000;2;1;09/02/1969;161;1
64275000;2;1;10/02/1969;161;1
64275000;2;1;11/02/1969;178;1
64275000;2;1;12/02/1969;219;1
64275000;2;1;13/02/1969;212;1
64275000;2;1;14/02/1969;214;1
64275000;2;1;15/02/1969;187;1
64275000;2;1;16/02/1969;178;1
64275000;2;1;17/02/1969;153;1
64275000;2;1;18/02/1969;228;1
64275000;2;1;19/02/1969;231;1
64275000;2;1;20/02/1969;248;1
64275000;2;1;21/02/1969;263;1
64275000;2;1;22/02/1969;248;1
64275000;2;1;23/02/1969;219;1
64275000;2;1;24/02/1969;184;1
64275000;2;1;25/02/1969;226;1
64275000;2;1;26/02/1969;253;1
64275000;2;1;27/02/1969;271;1
64275000;2;1;28/02/1969;238;1
64275000;2;1;01/03/1969;256;1
64275000;2;1;02/03/1969;279;1
64275000;2;1;03/03/1969;246;1
64275000;2;1;04/03/1969;333;1
64275000;2;1;05/03/1969;286;1
64275000;2;1;06/03/1969;207;1
64275000;2;1;07/03/1969;196;1
64275000;2;1;08/03/1969;205;1
64275000;2;1;09/03/1969;193;1
64275000;2;1;10/03/1969;149;1
