Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64005000


EstacaoCodigo;NivelConsistencia;MetodoObtencaoVazoes;Data;Vazao;Status
64005000;1;1;27/05/1969;8,887;
64005000;1;1;28/05/1969;8,739;
64005000;1;1;29/05/1969;8,591;
64005000;1;1;30/05/1969;8,443;
64005000;1;1;31/05/1969;8,296;
64005000;1;1;01/06/1969;8,296;
64005000;1;1;02/06/1969;14,53;
64005000;1;1;03/06/1969;18,902;
64005000;1;1;04/06/1969;12,431;
64005000;1;1;05/06/1969;11,329;
64005000;1;1;06/06/1969;9,941;
64005000;1;1;07/06/1969;10,708;
64005000;1;1;08/06/1969;9,789;
64005000;1;1;09/06/1969;9,487;
64005000;1;1;10/06/1969;8,296;
64005000;1;1;11/06/1969;8,003;
64005000;1;1;12/06/1969;7,28;
64005000;1;1;13/06/1969;7,137;
64005000;1;1;14/06/1969;6,994;
64005000;1;1;15/06/1969;6,852;
64005000;1;1;16/06/1969;6,852;
64005000;1;1;17/06/1969;9,037;
64005000;1;1;18/06/1969;10,094;
64005000;1;1;19/06/1969;10,554;
64005000;1;1;20/06/1969;12,75;
64005000;1;1;21/06/1969;12,114;
64005000;1;1;22/06/1969;16,185;
64005000;1;1;23/06/1969;12,114;
64005000;1;1;24/06/1969;11,642;
64005000;1;1;25/06/1969;17,025;
64005000;1;1;26/06/1969;17,025;
64005000;1;1;27/06/1969;12,591;
64005000;1;1;28/06/1969;9,789;
64005000;1;1;29/06/1969;9,789;
64005000;1;1;30/06/1969;6,852;
64005000;1;1;01/07/1969;9,789;
64005000;1;1;02/07/1969;11,329;
64005000;1;1;03/07/1969;7,567;
64005000;1;1;04/07/1969;6,852;
64005000;1;1;05/07/1969;6,852;
64005000;1;1;06/07/1969;6,852;
64005000;1;1;07/07/1969;8,296;
